Sector,Strategy,Year,AnnualEmissions
waste,NDCcond,2030,10440.099999999999
waste,NDCcond,2031,11119.5
waste,NDCcond,2032,11846.6
waste,NDCcond,2033,12606.3
waste,NDCcond,2034,13386.1
waste,NDCcond,2035,14214.800000000001
waste,NDCincond,2010,2271.86
waste,NDCincond,2011,2629.2200000000003
waste,NDCincond,2012,2987.2000000000003
waste,NDCincond,2013,3064.31
waste,NDCincond,2014,3141.99
waste,NDCincond,2015,3540.6
waste,NDCincond,2016,3939.5099999999998
waste,NDCincond,2017,4157.2
waste,NDCincond,2018,4374.990000000001
waste,NDCincond,2019,4554.36
waste,NDCincond,2020,4733.83
waste,NDCincond,2021,4796.95
waste,NDCincond,2022,5057.15
waste,NDCincond,2023,5582.61
waste,NDCincond,2024,6148.21
waste,NDCincond,2025,6658.1900000000005
waste,NDCincond,2026,7251.87
waste,NDCincond,2027,8079.25
waste,NDCincond,2028,8818.23
waste,NDCincond,2029,9606.69
waste,NDCincond,2030,10497.6
waste,NDCincond,2031,11196.199999999999
waste,NDCincond,2032,11942.5
waste,NDCincond,2033,12721.5
waste,NDCincond,2034,13550.5
waste,NDCincond,2035,14426.3
agriculture,BAU,2010,15006.0337
agriculture,BAU,2011,14909.017800000001
agriculture,BAU,2012,14812.818500000001
agriculture,BAU,2013,14223.5031
agriculture,BAU,2014,13635.0386
agriculture,BAU,2015,13102.989300000001
agriculture,BAU,2016,12914.256800000001
agriculture,BAU,2017,12865.3234
agriculture,BAU,2018,12585.7316
agriculture,BAU,2019,13611.921199999999
agriculture,BAU,2020,13761.1477
agriculture,BAU,2021,13262.6568
agriculture,BAU,2022,12582.651300000001
agriculture,BAU,2023,13562.8267
agriculture,BAU,2024,13979.4611
agriculture,BAU,2025,14204.389799999999
agriculture,BAU,2026,14616.460799999999
agriculture,BAU,2027,14927.044699999999
agriculture,BAU,2028,15241.552099999997
agriculture,BAU,2029,15547.6136
agriculture,BAU,2030,15865.6492
agriculture,BAU,2031,16063.3415
agriculture,BAU,2032,16362.562499999998
agriculture,BAU,2033,16674.821500000002
agriculture,BAU,2034,16967.5032
agriculture,BAU,2035,17258.0164
agriculture,NDCCON,2010,15006.0337
agriculture,NDCCON,2011,14909.017800000001
agriculture,NDCCON,2012,14812.818500000001
agriculture,NDCCON,2013,14223.4931
agriculture,NDCCON,2014,13635.028600000001
agriculture,NDCCON,2015,13102.999300000001
agriculture,NDCCON,2016,12914.256800000001
agriculture,NDCCON,2017,12865.3334
agriculture,NDCCON,2018,12569.041599999999
agriculture,NDCCON,2019,13595.0612
agriculture,NDCCON,2020,13738.6677
agriculture,NDCCON,2021,13244.7368
agriculture,NDCCON,2022,12562.3513
agriculture,NDCCON,2023,13544.8967
agriculture,NDCCON,2024,13961.5211
agriculture,NDCCON,2025,14186.4798
agriculture,NDCCON,2026,14611.2408
agriculture,NDCCON,2027,14921.814699999999
agriculture,NDCCON,2028,15029.162099999998
agriculture,NDCCON,2029,15252.8336
agriculture,NDCCON,2030,15502.2992
agriculture,NDCCON,2031,15629.9015
agriculture,NDCCON,2032,15857.842499999999
agriculture,NDCCON,2033,16135.421499999999
agriculture,NDCCON,2034,16422.603199999998
agriculture,NDCCON,2035,16707.7164
agriculture,NDCINC,2010,15006.0337
agriculture,NDCINC,2011,14909.017800000001
agriculture,NDCINC,2012,14812.818500000001
agriculture,NDCINC,2013,14223.4931
agriculture,NDCINC,2014,13635.028600000001
agriculture,NDCINC,2015,13102.999300000001
agriculture,NDCINC,2016,12914.256800000001
agriculture,NDCINC,2017,12865.3334
agriculture,NDCINC,2018,12569.041599999999
agriculture,NDCINC,2019,13595.0612
agriculture,NDCINC,2020,13738.6677
agriculture,NDCINC,2021,13244.7368
agriculture,NDCINC,2022,12562.3513
agriculture,NDCINC,2023,13544.8967
agriculture,NDCINC,2024,13961.5211
agriculture,NDCINC,2025,14186.4798
agriculture,NDCINC,2026,14611.2408
agriculture,NDCINC,2027,14921.814699999999
agriculture,NDCINC,2028,15236.3321
agriculture,NDCINC,2029,15547.6136
agriculture,NDCINC,2030,15865.6492
agriculture,NDCINC,2031,16063.3415
agriculture,NDCINC,2032,16362.562499999998
agriculture,NDCINC,2033,16674.821500000002
agriculture,NDCINC,2034,16967.5032
agriculture,NDCINC,2035,17258.0164
uscuss,BAU,2010,35105.1
uscuss,BAU,2011,33856.8
uscuss,BAU,2012,32609.4
uscuss,BAU,2013,31784.7
uscuss,BAU,2014,30960.6
uscuss,BAU,2015,29500.7
uscuss,BAU,2016,28039.3
uscuss,BAU,2017,24144.3
uscuss,BAU,2018,20277.5
uscuss,BAU,2019,19899.1
uscuss,BAU,2020,20300.7
uscuss,BAU,2021,24615.5
uscuss,BAU,2022,25829.5
uscuss,BAU,2023,22959.9
uscuss,BAU,2024,22726.5
uscuss,BAU,2025,22496.8
uscuss,BAU,2026,22268.3
uscuss,BAU,2027,22040.3
uscuss,BAU,2028,21814.0
uscuss,BAU,2029,21591.4
uscuss,BAU,2030,21369.4
uscuss,BAU,2031,21148.8
uscuss,BAU,2032,20929.6
uscuss,BAU,2033,20708.0
uscuss,BAU,2034,20494.1
uscuss,BAU,2035,20275.0
uscuss,NDC,2010,35105.1
uscuss,NDC,2011,33856.8
uscuss,NDC,2012,32609.4
uscuss,NDC,2013,31784.7
uscuss,NDC,2014,30960.6
uscuss,NDC,2015,29500.7
uscuss,NDC,2016,28039.3
uscuss,NDC,2017,24144.3
uscuss,NDC,2018,20277.5
uscuss,NDC,2019,19899.1
uscuss,NDC,2020,20300.7
uscuss,NDC,2021,24615.5
uscuss,NDC,2022,25829.5
uscuss,NDC,2023,22959.9
uscuss,NDC,2024,22726.5
uscuss,NDC,2025,22496.8
uscuss,NDC,2026,20588.1
uscuss,NDC,2027,20066.2
uscuss,NDC,2028,19546.1
uscuss,NDC,2029,19189.6
uscuss,NDC,2030,18673.5
uscuss,NDC,2031,18158.5
uscuss,NDC,2032,17645.0
uscuss,NDC,2033,17129.1
uscuss,NDC,2034,16620.9
uscuss,NDC,2035,16107.4
uscuss,NDCCON,2010,35105.1
uscuss,NDCCON,2011,33856.8
uscuss,NDCCON,2012,32609.4
uscuss,NDCCON,2013,31784.7
uscuss,NDCCON,2014,30960.6
uscuss,NDCCON,2015,29500.7
uscuss,NDCCON,2016,28039.3
uscuss,NDCCON,2017,24144.3
uscuss,NDCCON,2018,20277.5
uscuss,NDCCON,2019,19899.1
uscuss,NDCCON,2020,20300.7
uscuss,NDCCON,2021,24615.5
uscuss,NDCCON,2022,25829.5
uscuss,NDCCON,2023,22959.9
uscuss,NDCCON,2024,22726.5
uscuss,NDCCON,2025,22496.8
uscuss,NDCCON,2026,20750.0
uscuss,NDCCON,2027,20227.9
uscuss,NDCCON,2028,19707.5
uscuss,NDCCON,2029,19190.6
uscuss,NDCCON,2030,18674.5
uscuss,NDCCON,2031,18159.6
uscuss,NDCCON,2032,17646.0
uscuss,NDCCON,2033,17130.1
uscuss,NDCCON,2034,16622.0
uscuss,NDCCON,2035,16108.4
uscuss,NDCINC,2010,35105.1
uscuss,NDCINC,2011,33856.8
uscuss,NDCINC,2012,32609.4
uscuss,NDCINC,2013,31784.7
uscuss,NDCINC,2014,30960.6
uscuss,NDCINC,2015,29500.7
uscuss,NDCINC,2016,28039.3
uscuss,NDCINC,2017,24144.3
uscuss,NDCINC,2018,20277.5
uscuss,NDCINC,2019,19899.1
uscuss,NDCINC,2020,20300.7
uscuss,NDCINC,2021,24615.5
uscuss,NDCINC,2022,25829.5
uscuss,NDCINC,2023,22959.9
uscuss,NDCINC,2024,22726.5
uscuss,NDCINC,2025,22496.8
uscuss,NDCINC,2026,22106.3
uscuss,NDCINC,2027,21878.6
uscuss,NDCINC,2028,21652.5
uscuss,NDCINC,2029,21590.3
uscuss,NDCINC,2030,21368.3
uscuss,NDCINC,2031,21147.7
uscuss,NDCINC,2032,20928.5
uscuss,NDCINC,2033,20706.9
uscuss,NDCINC,2034,20493.1
uscuss,NDCINC,2035,20274.0
